Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Dog,Cocker Spaniel,3,Male,18.2,Appetite Loss,Skin Lesions,Lameness,Reduced Milk Production,10 days,No,No,Yes,No,Yes,Yes,Yes,No,No,38.9°C,113,Canine Parvovirus
Horse,Pinto,7,Male,664.5,Decreased Milk Yield,Reduced Appetite,Coughing,Skin Lesions,1 week,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,39.6°C,70,Strangles
Horse,Tennessee Walking Horse,7,Female,622.4,Weight Loss,Loss of Appetite,Coughing,Nasal Discharge,1 week,Yes,No,No,No,Yes,Yes,Yes,No,Yes,38.5°C,89,Equine Influenza
Sheep,Romney,3,Female,114.9,Labored Breathing,Skin Lesions,Sneezing,Eye Discharge,4 days,Yes,Yes,No,No,No,No,No,No,No,39.3°C,82,Bluetongue
Pig,Tamworth,5,Male,121.9,Reduced Appetite,Sneezing,Diarrhea,Reduced Mobility,7 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,39.4°C,89,Swine Influenza
Cat,Abyssinian,4,Female,7.4,Decreased Milk Yield,Lameness,Fever,Vomiting,3 days,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,38.4°C,143,Pancreatitis
Dog,Chihuahua,2,Male,42.8,Diarrhea,Swelling,No,Coughing,12 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,38.6°C,133,Gastroenteritis
Sheep,Romney,5,Female,127.6,Appetite Loss,Diarrhea,Reduced Mobility,Loss of Appetite,2 days,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,38.8°C,81,Bluetongue
Rabbit,English Angora,4,Female,1.0,Labored Breathing,Appetite Loss,Reduced Milk Production,Vomiting,4 days,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,39.3°C,155,Rabbit Hemorrhagic Disease
Rabbit,Mini Lop,2,Male,3.0,Lethargy,Sneezing,Loss of Appetite,Nasal Discharge,8 days,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,39.2°C,140,Myxomatosis
Horse,Quarter Horse,9,Male,512.6,Reduced Wool Growth,Reduced Appetite,Labored Breathing,Reduced Mobility,10 days,Yes,No,No,Yes,Yes,No,Yes,Yes,No,40.0°C,70,Equine Protozoal Myeloencephalitis
Horse,Mustang,10,Female,528.3,Diarrhea,Loss of Appetite,Labored Breathing,Fever,6 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,38.6°C,85,Equine Influenza
Dog,Chihuahua,2,Male,12.9,Lameness,Eye Discharge,Reduced Wool Growth,Diarrhea,7 days,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,38.9°C,135,Canine Distemper
Goat,Nubian,4,Male,72.1,Swollen Joints,Reduced Milk Production,Nasal Discharge,Sneezing,3 days,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,38.4°C,84,Caprine Arthritis Encephalitis Virus
Cat,Abyssinian,4,Male,5.7,Diarrhea,Reduced Appetite,Loss of Appetite,Sneezing,6 days,Yes,Yes,No,Yes,No,No,No,No,No,40.1°C,133,Feline Renal Disease
Cow,Limousin,3,Male,636.8,Reduced Appetite,Skin Lesions,Coughing,Reduced Wool Growth,8 days,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,39.9°C,97,Bovine Tuberculosis
Sheep,Romney,5,Male,102.1,Eye Discharge,Reduced Wool Production,Reduced Appetite,Vomiting,9 days,Yes,Yes,Yes,Yes,Yes,No,No,No,No,39.5°C,77,Blue Tongue Virus
Dog,Shih Tzu,4,Female,31.9,Nasal Discharge,Reduced Appetite,Sneezing,Swollen Joints,3 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.6°C,122,Canine Infectious Hepatitis
Goat,Boer,5,Female,57.6,Reduced Milk Production,Weight Loss,Decreased Milk Yield,Loss of Appetite,9 days,Yes,Yes,Yes,Yes,No,No,No,No,Yes,39.0°C,87,Caprine Arthritis Encephalitis
Rabbit,Himalayan,1,Male,1.1,Reduced Wool Production,Fever,Swollen Joints,Swelling,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,39.3°C,165,Snuffles
Rabbit,English Angora,2,Female,2.1,Vomiting,Dehydration,Reduced Wool Production,Coughing,2 days,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,38.7°C,161,Rabbit Syphilis
Pig,Pietrain,2,Female,111.3,Swollen Joints,Loss of Appetite,Diarrhea,Fever,9 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,39.0°C,101,Actinobacillus Pleuropneumonia
Goat,Angora,4,Male,61.4,Reduced Appetite,Dehydration,Reduced Mobility,Labored Breathing,12 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,38.4°C,89,Caprine Arthritis Encephalitis
Dog,Beagle,3,Female,28.0,Weight Loss,Coughing,Fever,Dehydration,8 days,Yes,No,No,Yes,No,Yes,No,No,Yes,38.5°C,124,Gastroenteritis
Cow,Shorthorn,6,Male,625.5,Reduced Mobility,Skin Lesions,Dehydration,Appetite Loss,8 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.8°C,78,Bovine Respiratory Syncytial Virus
Cat,Persian,1,Male,7.2,Reduced Appetite,Sneezing,Lameness,Eye Discharge,5 days,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,39.6°C,136,Pancreatitis
Goat,Nubian,3,Male,79.3,Nasal Discharge,Reduced Milk Production,Vomiting,Swelling,12 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,39.7°C,80,Caprine Pleuropneumonia
Dog,Rottweiler,2,Male,15.7,Vomiting,Eye Discharge,No,Lameness,8 days,Yes,No,No,No,Yes,Yes,No,Yes,No,39.8°C,123,Gastroenteritis
Cat,Burmese,4,Female,5.2,Swelling,Swollen Legs,Decreased Milk Yield,Reduced Appetite,12 days,No,Yes,No,Yes,No,Yes,No,Yes,Yes,38.4°C,137,Upper Respiratory Infection
Pig,Duroc,2,Female,95.0,Labored Breathing,Weight Loss,No,Diarrhea,2 weeks,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,39.0°C,89,Actinobacillus Pleuropneumonia
Pig,Duroc,3,Male,118.2,No,Reduced Wool Production,Lethargy,Labored Breathing,3 days,Yes,No,Yes,No,No,No,Yes,No,No,39.1°C,100,Swine Influenza
Rabbit,English Angora,2,Male,1.9,Decreased Milk Yield,Coughing,Swelling,Reduced Wool Growth,2 weeks,No,Yes,No,Yes,Yes,No,No,No,No,39.7°C,147,Rabbit Hemorrhagic Disease
Cow,Holstein,8,Male,640.4,Lethargy,Skin Lesions,No,Swollen Legs,2 days,Yes,Yes,No,Yes,Yes,Yes,No,No,No,39.8°C,74,Bovine Viral Diarrhea
Dog,Beagle,7,Female,33.1,Reduced Appetite,Dehydration,Decreased Milk Yield,Weight Loss,6 days,No,No,Yes,No,No,No,Yes,Yes,No,39.5°C,138,Parvovirus
Cat,Siamese,5,Male,4.4,Reduced Wool Production,Reduced Wool Growth,Decreased Milk Yield,Diarrhea,12 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.5°C,136,Feline Infectious Peritonitis
Goat,Angora,4,Female,104.2,Lameness,Swelling,Reduced Milk Production,Nasal Discharge,4 days,Yes,Yes,No,No,Yes,No,Yes,Yes,No,40.0°C,87,Coccidiosis
Sheep,Southdown,3,Female,80.9,Reduced Wool Production,Swollen Legs,Swelling,Reduced Appetite,7 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,38.7°C,77,Bluetongue
Cat,Bengal,5,Female,3.4,Swollen Legs,Skin Lesions,Vomiting,Labored Breathing,1 week,Yes,No,No,No,Yes,No,Yes,Yes,Yes,38.8°C,138,Upper Respiratory Infection
Cat,Maine Coon,4,Male,3.0,Lameness,Dehydration,Reduced Wool Production,Swollen Legs,5 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,38.7°C,128,Feline Calicivirus
Sheep,Merino,5,Male,65.0,Reduced Wool Production,Reduced Milk Production,Reduced Wool Growth,Eye Discharge,8 days,Yes,Yes,No,Yes,No,Yes,No,No,No,39.3°C,81,Bluetongue Virus
Dog,Chihuahua,5,Female,17.8,Skin Lesions,Swollen Joints,Reduced Wool Production,Decreased Milk Yield,7 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,39.7°C,124,Arthritis
Goat,Boer,5,Male,100.3,Swollen Legs,Fever,Swelling,Reduced Appetite,3 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,39.5°C,92,Goat Pox
Cat,Ragdoll,2,Male,6.5,Diarrhea,No,Lameness,Vomiting,4 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,38.9°C,138,Feline Viral Rhinotracheitis
Cat,Burmese,4,Female,4.9,Fever,Reduced Wool Production,Loss of Appetite,Appetite Loss,10 days,Yes,No,Yes,Yes,Yes,No,No,Yes,No,39.7°C,145,Feline Leukemia Virus
Rabbit,Holland Lop,2,Male,2.1,Appetite Loss,Dehydration,Fever,Decreased Milk Yield,10 days,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,39.8°C,147,Rabbit Viral Hemorrhagic Disease
Goat,Saanen,3,Male,94.4,Diarrhea,Fever,Reduced Milk Production,Coughing,5 days,Yes,No,Yes,Yes,Yes,Yes,No,No,No,38.6°C,80,Foot-and-Mouth Disease
Cat,Sphynx,6,Male,5.6,Labored Breathing,Reduced Appetite,Eye Discharge,Sneezing,8 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,38.4°C,159,Feline Asthma
Dog,Beagle,3,Female,33.7,Sneezing,Reduced Milk Production,Labored Breathing,Reduced Appetite,8 days,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,38.5°C,122,Canine Leptospirosis
Cat,Devon Rex,1,Female,7.1,Reduced Wool Growth,Skin Lesions,Decreased Milk Yield,Vomiting,10 days,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,39.4°C,159,Feline Leukemia Virus
Horse,Pinto,12,Male,647.9,Lameness,Swelling,Swollen Legs,Reduced Appetite,9 days,No,No,Yes,Yes,Yes,No,No,Yes,No,39.1°C,86,Equine Encephalitis
Cat,Bengal,3,Male,6.4,Reduced Wool Growth,Reduced Mobility,Reduced Appetite,Diarrhea,1 week,Yes,Yes,No,Yes,No,No,No,No,Yes,38.6°C,144,Intestinal Parasites
Dog,Dachshund,7,Female,11.8,Eye Discharge,Reduced Milk Production,Labored Breathing,Weight Loss,3 days,Yes,No,No,Yes,No,No,No,No,Yes,38.6°C,117,Distemper
Dog,Shih Tzu,2,Female,22.9,Loss of Appetite,Labored Breathing,Nasal Discharge,Lameness,10 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,39.1°C,130,Canine Distemper
Cat,Maine Coon,3,Female,3.3,Fever,Reduced Wool Production,Nasal Discharge,Vomiting,12 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.1°C,128,Feline Upper Respiratory Infection
Horse,Shetland Pony,9,Male,645.3,Reduced Mobility,No,Coughing,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,38.9°C,97,Equine Pneumonia
Goat,Saanen,5,Female,55.0,Fever,Appetite Loss,Sneezing,Eye Discharge,1 week,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,39.6°C,95,Giardiasis
Cat,Scottish Fold,3,Female,7.0,Loss of Appetite,Dehydration,Lameness,No,3 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,38.8°C,153,Upper Respiratory Infection
Horse,Morgan,11,Male,585.3,Swelling,Loss of Appetite,Labored Breathing,Appetite Loss,2 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,38.9°C,70,Equine Influenza
Goat,Nubian,5,Female,79.7,Reduced Milk Production,Dehydration,Decreased Milk Yield,Diarrhea,5 days,Yes,Yes,No,Yes,No,No,Yes,No,No,39.1°C,84,Caprine Viral Arthritis
Dog,Bulldog,5,Male,11.7,Reduced Milk Production,Decreased Milk Yield,Reduced Wool Growth,Reduced Appetite,9 days,Yes,No,Yes,No,Yes,No,Yes,No,Yes,40.1°C,125,Gastroenteritis
Goat,Boer,5,Male,85.7,Reduced Appetite,Labored Breathing,Sneezing,Vomiting,12 days,Yes,Yes,No,No,No,No,Yes,Yes,No,38.4°C,80,Caprine Arthritis Encephalitis Virus
Rabbit,Himalayan,1,Male,3.4,Reduced Mobility,Weight Loss,Vomiting,Reduced Wool Production,6 days,No,No,No,Yes,No,No,Yes,Yes,Yes,39.5°C,147,Pasteurellosis
Cat,Persian,5,Female,6.0,Coughing,No,Labored Breathing,Weight Loss,3 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,40.1°C,144,Feline Leukemia Virus
Cat,Persian,5,Male,5.1,Diarrhea,Vomiting,Coughing,Loss of Appetite,1 week,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,39.1°C,150,Pancreatitis
Dog,Poodle,4,Female,37.7,Swollen Legs,Coughing,No,Diarrhea,2 weeks,Yes,No,Yes,Yes,No,No,No,Yes,Yes,38.5°C,124,Bordetella Infection
Horse,Arabian,6,Male,405.7,Dehydration,Weight Loss,Fever,Reduced Milk Production,1 week,Yes,No,No,Yes,No,No,Yes,No,Yes,38.6°C,89,Equine Herpesvirus
Cat,Bengal,5,Female,6.1,Reduced Appetite,Lameness,Fever,Swollen Legs,2 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,38.5°C,132,Inflammatory Bowel Disease
Goat,Boer,4,Male,77.0,Decreased Milk Yield,Labored Breathing,Swollen Joints,Swelling,8 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,40.0°C,80,Caprine Arthritis Encephalitis
Cat,Siamese,3,Female,6.2,Loss of Appetite,Skin Lesions,Fever,Sneezing,8 days,Yes,No,No,Yes,Yes,Yes,Yes,No,No,39.7°C,130,Pancreatitis
Cat,Scottish Fold,4,Female,7.4,Reduced Wool Production,Fever,Loss of Appetite,Coughing,8 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,39.1°C,137,Feline Asthma
Rabbit,Himalayan,2,Female,1.0,Eye Discharge,Weight Loss,Lethargy,Swollen Joints,10 days,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,38.4°C,165,Rabbit Hemorrhagic Disease
Dog,Golden Retriever,6,Male,17.8,Dehydration,Swollen Joints,Decreased Milk Yield,Reduced Mobility,10 days,Yes,Yes,No,No,No,Yes,Yes,No,Yes,39.2°C,119,Parvovirus
Goat,Boer,5,Male,71.3,Labored Breathing,Coughing,Nasal Discharge,Fever,12 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,38.6°C,86,Pneumonia
Dog,Poodle,2,Female,31.7,Dehydration,Appetite Loss,Fever,Reduced Wool Production,2 days,Yes,No,No,Yes,No,No,No,No,Yes,38.9°C,125,Chronic Bronchitis
Rabbit,Flemish Giant,3,Female,2.5,Eye Discharge,Dehydration,Sneezing,Decreased Milk Yield,9 days,Yes,Yes,No,Yes,No,No,Yes,No,Yes,38.6°C,158,Rabbit Syphilis
Horse,Arabian,7,Male,645.6,Lethargy,Fever,Lameness,Reduced Mobility,5 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,40.0°C,88,Laminitis
Dog,Poodle,3,Female,36.9,Swelling,Labored Breathing,Diarrhea,Swollen Legs,1 week,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,39.7°C,116,Canine Parvovirus
Dog,Rottweiler,4,Female,20.4,Fever,Weight Loss,Decreased Milk Yield,Reduced Wool Production,8 days,Yes,No,Yes,No,No,No,No,Yes,No,39.6°C,124,Canine Hepatitis
Horse,Percheron,7,Female,340.9,No,Appetite Loss,Labored Breathing,Loss of Appetite,8 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.1°C,85,Equine Piroplasmosis
Cat,Persian,3,Male,3.0,Dehydration,Reduced Wool Production,Skin Lesions,Swelling,5 days,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,38.5°C,145,Fungal Infection
Goat,Nubian,5,Female,82.2,Loss of Appetite,Reduced Milk Production,Nasal Discharge,Lethargy,7 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,40.0°C,88,Caprine Pleuropneumonia
Sheep,Blackface,6,Male,82.5,Appetite Loss,Reduced Milk Production,Coughing,Reduced Wool Growth,9 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,39.6°C,83,Scrapie
Cat,Ragdoll,4,Female,5.1,Loss of Appetite,Reduced Mobility,Reduced Appetite,Swollen Legs,9 days,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,40.2°C,147,Upper Respiratory Infection
Dog,Rottweiler,6,Female,19.1,Swollen Joints,Reduced Milk Production,Lethargy,Nasal Discharge,1 week,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,38.6°C,118,Parvovirus
Goat,Nubian,3,Female,96.8,Vomiting,No,Decreased Milk Yield,Coughing,10 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,40.1°C,91,Caprine Arthritis Encephalitis
Goat,LaMancha,2,Female,76.9,Swelling,Swollen Joints,Coughing,Sneezing,10 days,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,38.7°C,82,Caprine Arthritis Encephalitis
Horse,Welsh Pony,9,Male,407.2,Dehydration,Swollen Legs,Sneezing,Reduced Milk Production,7 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.9°C,83,Equine Herpesvirus
Dog,Labrador,5,Male,10.3,Lethargy,Skin Lesions,Decreased Milk Yield,Appetite Loss,3 days,Yes,Yes,Yes,No,Yes,No,No,No,No,38.9°C,131,Distemper
Dog,Labrador Retriever,4,Female,16.0,Reduced Wool Growth,Eye Discharge,Dehydration,Decreased Milk Yield,2 days,Yes,No,No,Yes,No,No,Yes,No,Yes,39.2°C,132,Canine Distemper
Pig,Berkshire,3,Male,116.8,Swollen Joints,Fever,Reduced Wool Production,Lameness,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,40.0°C,87,Porcine Reproductive and Respiratory Syndrome
Cow,Charolais,7,Female,646.0,Swollen Legs,Loss of Appetite,Fever,Lameness,3 days,Yes,No,No,Yes,Yes,No,No,No,Yes,38.9°C,86,Bovine Respiratory Disease Complex
Dog,German Shepherd,5,Male,20.7,Decreased Milk Yield,Reduced Wool Growth,Swollen Legs,Dehydration,1 week,No,No,Yes,No,Yes,Yes,Yes,No,No,39.3°C,129,Kennel Cough
Horse,Thoroughbred,11,Male,639.0,Swollen Joints,No,Reduced Appetite,Labored Breathing,4 days,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,39.8°C,107,Equine Leptospirosis
Cat,Bengal,3,Female,3.0,Weight Loss,Lethargy,Eye Discharge,No,2 weeks,Yes,No,No,No,Yes,No,No,Yes,No,40.1°C,130,Feline Upper Respiratory Infection
Dog,Labrador,7,Male,31.1,Reduced Mobility,Swollen Legs,Vomiting,Sneezing,10 days,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,40.1°C,118,Canine Parvovirus
Cat,Sphynx,3,Female,4.4,Swelling,Vomiting,Lethargy,Swollen Joints,10 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.7°C,136,Feline Panleukopenia
Dog,Poodle,4,Female,37.7,Reduced Wool Growth,Reduced Appetite,Reduced Wool Production,Eye Discharge,6 days,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,39.8°C,135,Lyme Disease
Goat,Alpine,4,Male,55.9,Reduced Wool Production,Swollen Joints,Sneezing,Decreased Milk Yield,12 days,Yes,Yes,No,Yes,No,No,Yes,No,Yes,39.4°C,82,Caprine Arthritis Encephalitis
Pig,Large White,6,Female,112.4,Labored Breathing,Reduced Mobility,Lameness,Weight Loss,3 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,40.2°C,110,Porcine Epidemic Diarrhea
Dog,Shih Tzu,5,Female,2.0,Eye Discharge,Lameness,Skin Lesions,Swollen Joints,4 days,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,39.5°C,123,Lyme Disease
Cat,Abyssinian,4,Male,3.7,Reduced Appetite,Reduced Milk Production,Swollen Joints,Dehydration,6 days,No,No,No,Yes,Yes,Yes,Yes,No,Yes,38.4°C,144,Feline Panleukopenia
Horse,Thoroughbred,9,Female,561.6,Vomiting,Labored Breathing,Weight Loss,Lameness,5 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,39.8°C,70,Equine Influenza
Horse,Welsh Pony,14,Female,582.2,No,Labored Breathing,Fever,Swelling,3 days,Yes,Yes,No,No,No,No,No,Yes,Yes,38.7°C,76,Equine Influenza
Goat,Kiko,4,Male,90.6,Dehydration,Loss of Appetite,No,Weight Loss,8 days,Yes,Yes,No,Yes,No,No,No,No,No,38.8°C,83,Caprine Pleuropneumonia
Dog,Shih Tzu,3,Male,20.7,Lameness,Appetite Loss,Decreased Milk Yield,Reduced Mobility,1 week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,38.8°C,132,Canine Distemper
Cow,Hereford,5,Female,669.6,Reduced Appetite,Fever,Swollen Joints,Swollen Legs,8 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,39.2°C,84,Bovine Johne's Disease
Dog,Beagle,2,Male,25.0,No,Loss of Appetite,Sneezing,Lethargy,3 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,38.7°C,125,Canine Parvovirus
Dog,Golden Retriever,3,Female,5.4,Dehydration,Lameness,Eye Discharge,Lethargy,9 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,40.1°C,122,Parvovirus
Dog,Poodle,8,Male,25.9,Dehydration,Reduced Milk Production,No,Lameness,2 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,40.1°C,119,Canine Cough
Cat,Persian,4,Male,7.5,Loss of Appetite,Labored Breathing,Fever,Reduced Appetite,7 days,Yes,Yes,Yes,Yes,No,No,No,Yes,No,39.2°C,144,Feline Immunodeficiency Virus
Horse,Clydesdale,7,Female,669.1,Reduced Appetite,Swelling,Reduced Wool Growth,Decreased Milk Yield,5 days,Yes,No,No,Yes,No,Yes,No,No,Yes,39.3°C,95,Equine Encephalomyelitis
Dog,Border Collie,5,Male,15.1,Swelling,Eye Discharge,Skin Lesions,Reduced Wool Growth,7 days,Yes,No,No,Yes,No,Yes,Yes,No,No,40.1°C,119,Canine Parvovirus
Pig,Berkshire,2,Female,99.8,Reduced Mobility,Lethargy,Skin Lesions,Vomiting,3 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,38.4°C,97,Swine Influenza
Pig,Tamworth,3,Male,122.3,Coughing,Swollen Joints,Fever,Appetite Loss,2 weeks,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,38.4°C,92,Swine Erysipelas
Dog,German Shepherd,6,Female,34.5,Sneezing,Reduced Mobility,Swollen Legs,Eye Discharge,2 weeks,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,39.2°C,133,Parvovirus
Dog,Rottweiler,4,Female,12.3,Labored Breathing,Weight Loss,Lameness,Swelling,6 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,40.0°C,120,Parvovirus
Pig,Poland China,2,Male,112.1,Swollen Legs,Decreased Milk Yield,Swelling,Fever,5 days,No,No,Yes,Yes,No,No,Yes,Yes,No,39.4°C,96,Swine Influenza
Sheep,Texel,5,Male,88.0,Coughing,Swollen Joints,Reduced Mobility,Skin Lesions,5 days,Yes,Yes,No,Yes,No,Yes,No,No,No,39.9°C,79,Contagious Ecthyma
Cat,Burmese,7,Male,5.0,Swollen Legs,Decreased Milk Yield,No,Swollen Joints,7 days,Yes,No,No,No,Yes,Yes,No,Yes,Yes,38.8°C,126,Upper Respiratory Infection
Horse,Quarter Horse,7,Male,679.6,Coughing,Decreased Milk Yield,Sneezing,Fever,10 days,Yes,No,No,No,No,No,Yes,Yes,No,39.8°C,94,Equine West Nile Virus
Dog,Poodle,5,Female,38.6,Sneezing,Reduced Mobility,Reduced Wool Production,Swollen Legs,9 days,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,39.1°C,120,Canine Hepatitis
Sheep,Suffolk,3,Male,90.6,Reduced Wool Production,Reduced Appetite,Diarrhea,Fever,4 days,Yes,No,No,Yes,No,No,Yes,No,No,38.4°C,76,Bluetongue
Cat,Manx,5,Male,5.8,Loss of Appetite,Vomiting,Reduced Wool Production,Reduced Mobility,9 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,39.6°C,145,Feline Respiratory Infection
Sheep,Dorset,3,Male,93.0,Skin Lesions,Coughing,Weight Loss,Nasal Discharge,2 days,Yes,Yes,No,No,No,Yes,Yes,No,Yes,39.1°C,74,Bluetongue
Cat,Siberian,3,Male,5.6,Reduced Wool Production,Nasal Discharge,Coughing,Vomiting,8 days,No,No,No,No,No,No,Yes,Yes,Yes,40.2°C,146,Feline Infectious Peritonitis
Goat,Kiko,5,Male,91.6,Reduced Wool Production,Loss of Appetite,Appetite Loss,Skin Lesions,10 days,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,38.4°C,83,Caprine Arthritis Encephalitis
Sheep,Border Leicester,4,Female,104.3,No,Dehydration,Swelling,Reduced Milk Production,5 days,No,No,No,Yes,Yes,No,No,No,No,39.9°C,80,Scrapie
Goat,Nubian,6,Male,55.0,Swelling,Lethargy,Swollen Legs,Weight Loss,3 days,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,38.7°C,82,Pneumonia
Goat,Nubian,2,Male,68.9,Reduced Mobility,Labored Breathing,Eye Discharge,Fever,7 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,39.8°C,80,Caseous Lymphadenitis
Horse,Arabian,10,Female,520.7,Reduced Wool Production,Swelling,Sneezing,Diarrhea,8 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,39.9°C,70,Equine Laminitis
Cat,Ragdoll,8,Male,4.7,Weight Loss,Diarrhea,Reduced Mobility,Appetite Loss,12 days,No,Yes,No,No,Yes,Yes,Yes,Yes,No,38.8°C,153,Feline Chlamydiosis
Goat,Boer,4,Male,81.0,Lameness,Decreased Milk Yield,Reduced Wool Growth,Labored Breathing,2 days,Yes,Yes,No,Yes,No,No,Yes,No,Yes,38.5°C,84,Caseous Lymphadenitis
Goat,Toggenburg,4,Male,79.3,Reduced Wool Production,Dehydration,Vomiting,Skin Lesions,2 weeks,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,40.1°C,86,Pneumonia
Cow,Jersey,2,Female,639.7,Appetite Loss,Swollen Legs,Loss of Appetite,Weight Loss,9 days,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,39.5°C,88,Bovine Respiratory Disease
Cat,Maine Coon,1,Male,4.2,Swollen Joints,Reduced Milk Production,Dehydration,Loss of Appetite,10 days,Yes,No,Yes,Yes,Yes,No,No,No,No,39.1°C,131,Feline Infectious Peritonitis
Pig,Wessex Saddleback,2,Female,129.7,Sneezing,Reduced Wool Production,Swollen Legs,Weight Loss,9 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.9°C,87,Swine Influenza
Dog,Chihuahua,3,Female,39.3,Swelling,Decreased Milk Yield,Reduced Appetite,Appetite Loss,4 days,Yes,No,No,Yes,No,Yes,No,No,No,40.2°C,125,Parvovirus
Dog,Rottweiler,5,Male,7.6,No,Weight Loss,Loss of Appetite,Lethargy,8 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,39.5°C,126,Kennel Cough
